"","SPY","AAPL"
"2001-01-03",0.0480349327458194,0.100840379550248
"2001-01-04",-0.0107644488521877,0.0419845536941224
"2001-01-05",-0.0326424884871384,-0.0402928753072928
"2001-01-08",0.00774069067846874,0.0114505034879965
"2001-01-09",-0.00264076943389098,0.0377359366053342
"2001-01-10",0.0175695489111439,-0.0363637176609464
"2001-01-11",0.000946075527173993,0.0867918189773816
"2001-01-12",-0.00189036262852765,-0.0451382514253803
"2001-01-16",0.00639170429491735,-0.00363699775538131
"2001-01-17",0.00458726702824376,-0.018247778825899
"2001-01-18",0.00995189066529272,0.111524438853499
"2001-01-19",-0.00568039329576707,0.0434776171821346
"2001-01-22",0.00664556333223797,-0.0128203915559614
"2001-01-23",0.00787584171179406,0.0649352412175817
"2001-01-24",0.00298815796471417,0
"2001-01-25",-0.00252095450940036,-0.0274393192691545
"2001-01-26",-0.00114829818969004,-0.0188082143413309
"2001-01-29",0.00533582837187294,0.108626288451219
"2001-01-30",0.00878475294359588,0.00288163809715493
"2001-01-31",-0.00566037141818333,-0.00574742291718633
"2001-02-01",0.00664128808053434,-0.0231211654261459
"2001-02-02",-0.0226926000957837,-0.0236684065698199
"2001-02-05",0.0073441450191166,-0.0212120941130179
"2001-02-06",-0.00294567846804291,0.0464393503333303
"2001-02-07",-0.00517023226211117,-0.0177516687208874
"2001-02-08",-0.0116564459983298,0
"2001-02-09",-0.00961537557775554,-0.0783128692570711
"2001-02-12",0.0114533507722648,0.0294112683187532
"2001-02-13",-0.00817406503262393,-0.0285709601438384
"2001-02-14",-0.00151214908524152,0.0196072443210358
"2001-02-15",0.00969255469359551,0.0288464721656018
"2001-02-16",-0.0220489209237731,-0.0529595588376126
"2001-02-20",-0.0154140676434814,-0.0361840615069992
"2001-02-21",-0.0215748676057432,0.0307162107832399
"2001-02-22",0.00151246047940369,-0.00331102368937281
"2001-02-23",-0.00675621274771746,0
"2001-02-26",0.0212868501737005,0.0365447039224546
"2001-02-27",-0.00924620741105198,-0.00640980166818795
"2001-02-28",-0.0196931802881125,-0.0580643369957559
"2001-03-01",0.00524406855663562,0.0273969833841043
"2001-03-02",-0.00794540594535167,0.0266664043472879
"2001-03-05",0.00914163402164121,0.0584413977133815
"2001-03-06",0.0107423756582776,0.0552153348269853
"2001-03-07",0.00713833565487445,-0.011628505494694
"2001-03-08",0.0011025236813012,-0.020588222529869
"2001-03-09",-0.0295783633104999,-0.027026587911739
"2001-03-12",-0.0428015503716323,-0.0802472602958075
"2001-03-13",0.016429503320038,0.0503361243288654
"2001-03-14",-0.0197466711899231,0.0447283792798109
"2001-03-15",0.000254986690244867,-0.0366976340870753
"2001-03-16",-0.0200572102608371,-0.00317437763539306
"2001-03-19",0.0203460160095974,0.0477704287621934
"2001-03-20",-0.0268427874255794,-0.0425531596812401
"2001-03-21",-0.0169876954584791,0.0222222048730523
"2001-03-22",-0.0101549884354029,0.0745342136717213
"2001-03-23",0.03023757801445,0.0635842710684779
"2001-03-26",0.0127533193363942,-0.0530434811664031
"2001-03-27",0.0204415672302625,0.0500458355945325
"2001-03-28",-0.0276392280287014,-0.030608150748318
"2001-03-29",0.00382477748958234,0.0162382816345604
